site_uid,basin_name,basin_type,dist_to_0,dist_to_1,dist_to_2,dist_to_3,area0,area1,area2,area3,selection_mode,reviewed,river_da_km2,river_name,flag_area,flag_river,flag_not_contained,flag_basin1_over_basin0,flag_area_mismatch_v2,flag_area_mismatch_v3
WQS0023,WQS0023_basin1.parquet,1,,0.0,0.0,0.5049320735299643,,6091.000542642071,9.36686427717657,5950.3155573506665,auto,False,6101.4681,Wapsipinicon River,False,False,False,False,True,False
WQS0022,WQS0022_basin1.parquet,1,,0.0,0.0,0.0,,7.883614252033757,7.883614252033757,40.42634093268116,auto,False,40.5243,Rapid Creek,False,False,False,False,False,True
WQS0012,WQS0012_basin1.parquet,1,,0.12182483592602905,0.0,0.0,,10.187345115561747,19.016489429300808,2547.298943455784,auto,False,18.945,Slough Creek,False,False,False,False,True,True
WQS0037,WQS0037_basin1.parquet,1,,0.0,0.0,0.07925742913640269,,578.0260552444478,573.2873537544244,4.345983939818564,auto,False,597.8772,East Nishnabotna River,False,False,False,False,False,True
WQS0002,WQS0002_basin1.parquet,1,,0.0,0.0,0.0,,257.3559562932596,257.3559562932596,260.46904476706254,auto,False,8174.5578,Iowa River,False,False,False,False,False,False
WQS0008,WQS0008_basin1.parquet,1,,0.0,0.0,0.0,,19.016489429300808,19.016489429300808,2547.298943455784,auto,False,2537.2548,Cedar River,False,False,False,False,False,True
USGS-05481000,USGS-05481000_basin0.parquet,0,0.0,0.0,0.0,0.17248728356456663,2187.2797239713104,2187.2797239713104,2187.2797239713104,2129.959328406645,auto,False,2206.3896,Boone River,False,False,False,False,False,False
USGS-05482000,USGS-05482000_basin0.parquet,0,0.0,0.0,0.0,4.945758456950144,16217.918119958276,16217.918119958276,16217.918119958276,15521.618672984814,auto,False,16217.1657,Des Moines River,False,True,False,False,False,True
USGS-05482300,USGS-05482300_basin0.parquet,0,0.0,0.0,0.0,0.03815981928925032,1809.053061886664,1809.053061886664,1809.053061886664,1907.119739305717,auto,False,2076.255,North Raccoon River,False,False,False,False,False,True
USGS-05484000,USGS-05484000_basin0.parquet,0,0.0,0.05212987497281578,0.01603069977369711,0.0,2569.563229206587,2556.3971338200895,11.49346535486725,2670.002174399308,auto,False,2584.9872,South Raccoon River,False,False,False,False,True,True
WQS0069,WQS0069_basin1.parquet,1,,0.0,0.0,0.0,,3320.2762808122425,3320.2762808122425,3311.9560599114047,auto,False,3369.1464,Wapsipinicon River,False,False,False,False,False,False
USGS-05418400,USGS-05418400_basin0.parquet,0,0.0,0.0,0.0,0.0,1303.1193531094243,1308.5568806946892,1303.1193531094243,388.4590791120052,auto,False,1322.6814,North Fork Maquoketa River,False,False,False,False,False,True
USGS-05483600,USGS-05483600_basin0.parquet,0,0.0,0.0,0.0,5.554321663574871,1117.135845948319,1117.135845948319,1117.135845948319,1014.4887179316622,auto,False,1131.6078,Middle Raccoon River,False,False,False,False,False,True
USGS-06604440,USGS-06604440_basin0.parquet,0,0.0,0.0,0.0,0.0,1387.8495062042277,1387.8495062042277,1387.8495062042277,1052.524208684761,auto,False,1387.8639,Little Sioux River,False,False,False,False,False,True
USGS-06817000,USGS-06817000_basin0.parquet,0,0.0,0.0,0.0,0.16483179473775003,1984.144755894664,1984.144755894664,1984.144755894664,1983.2872397306555,auto,False,1984.689,West Nodaway River,False,False,False,False,False,False
WQS0039,WQS0039_basin1.parquet,1,,0.0,0.0,0.0,,1077.7886699083588,1077.7886699083588,1115.9754581842892,auto,False,1129.6566,Boone River,False,False,False,False,False,False
WQS0046,WQS0046_basin1.parquet,1,,0.0,0.0,0.06827169380590914,,54.680675808936456,54.680675808936456,57.890280936362544,auto,False,66.1509,Walnut Creek,False,False,False,False,False,True
WQS0047,WQS0047_basin1.parquet,1,,0.0,0.0,0.0,,19.155376765373077,19.155376765373077,19.287876277156695,auto,False,27.2214,Walnut Creek,False,False,False,False,False,False
WQS0056,WQS0056_basin1.parquet,1,,0.0,0.0,1.249157350690442,,131.98043050261296,131.98043050261296,13.971795309742497,auto,False,155.205,Tipton Creek,False,False,False,False,False,True
WQS0070,WQS0070_basin1.parquet,1,,0.0,0.0,2.4385164449562025,,794.4794511945503,794.4794511945503,57.33782997507988,auto,False,809.8047,Wolf Creek,False,False,False,False,False,True
WQS0071,WQS0071_basin1.parquet,1,,0.0,0.003554162463294544,6.292389649380011,,112.68283149282541,108.32153474152939,15395.465274751823,auto,False,15824.2005,Cedar River,False,True,False,False,False,True
WQS0073,WQS0073_basin1.parquet,1,,0.0,0.056390526602353164,0.0,,34.809643212580006,28.826640546101032,28.615056149122886,auto,False,42.6114,,False,False,False,False,True,True
WQS0074,WQS0074_basin1.parquet,1,,0.0,0.0,0.1867485966222307,,141.22975448426092,141.22975448426092,155.0110125442425,auto,False,214.9272,Cedar Creek,False,False,False,False,False,True
USGS-05480603,USGS-05480603_basin0.parquet,0,0.0,0.0,0.0,0.20049722780220733,88.62878789619265,88.62878789619265,88.62878789619265,107.98309944246591,auto,False,11047.905,Des Moines River,False,True,False,False,False,True
USGS-05451210,USGS-05451210_basin0.parquet,0,0.0,0.0,0.0,0.2184418566861079,582.8927128551205,582.8927128551205,582.8927128551205,393.17411031777345,auto,False,783.9594,South Fork Iowa River,False,False,False,False,False,True
USGS-05464500,USGS-05464500_basin0.parquet,0,0.0,0.0,0.0,0.0,16860.58546701106,16860.58546701106,16860.58546701106,3.5171059914471527,auto,False,16864.6671,Cedar River,False,True,False,False,False,True
USGS-05480986,USGS-05480986_basin0.parquet,0,0.0,0.0,0.0,4.054212915183075,29.728808351886066,29.728808351886066,29.728808351886066,1671.1222402763303,auto,False,71.7093,Buck Creek,False,False,False,False,False,True
