site_uid,basin_name,basin_type,dist_to_0,dist_to_1,dist_to_2,dist_to_3,area0,area1,area2,area3,selection_mode,reviewed,river_da_km2,river_name,flag_area,flag_river,flag_not_contained,flag_basin1_over_basin0,flag_area_mismatch_v2,flag_area_mismatch_v3
WQS0003,WQS0003_basin1.parquet,1,,0.0,0.0,0.3072660737549534,,165.12518239317097,165.12518239317097,157.09827525681916,auto,False,198.6039,Clear Creek,False,False,False,False,False,True
WQS0054,WQS0054_basin1.parquet,1,,0.0,0.0,0.6628417971024038,,16.883844396835094,16.883844396835094,4.156195111635565,auto,False,16.6518,Walnut Creek,False,False,False,False,False,True
WQS0115,WQS0115_basin1.parquet,1,,0.0,0.0,0.0,,34597.922669484404,34597.922669484404,33912.803607002556,auto,False,34607.4525,Des Moines River,False,True,False,False,False,False
USGS-06808500,USGS-06808500_basin0.parquet,0,0.11710075931690647,0.11710075931690647,0.0,0.2478540572076693,3427.6846226187463,3427.6846226187463,3447.418399816752,3409.423259583792,auto,False,3479.2137,West Nishnabotna River,False,False,False,False,False,False
WQS0035,WQS0035_basin1.parquet,1,,0.0,0.0,1.8338003483498562,,133.72189652327575,133.72189652327575,1.5880954364299158,auto,False,13799.5137,Cedar River,False,True,False,False,False,True
USGS-05464475,USGS-05464475_basin0.parquet,0,0.0,0.0,0.0,3.3837543725631254,45.31909149283681,45.31909149283681,45.31909149283681,472.32338200074526,auto,False,16785.8631,Cedar River,False,True,False,False,False,True
WQS0010,WQS0010_basin1.parquet,1,,0.01786190044127664,0.01786190044127664,0.12476421066182818,,11165.668196608209,11165.668196608209,11204.72391359517,auto,False,11239.8417,Skunk River,False,True,True,False,False,False
WQS0081,WQS0081_basin1.parquet,1,,0.0,0.0,1.9886932278820342,,2187.2797239713104,2187.2797239713104,2074.2618812730407,auto,False,2206.3896,Boone River,False,False,False,False,False,True
WQS0083,WQS0083_basin1.parquet,1,,0.0,0.0,0.19562835831174025,,4498.154381037628,4484.982325188169,4351.042155130703,auto,False,4502.5947,Shell Rock River,False,False,False,False,False,False
WQS0050,WQS0050_basin1.parquet,1,,0.08825652280083926,0.0,0.19290193965498684,,240.78191000764076,246.83534251023983,251.8337423179835,auto,False,289.0674,West Fork Crooked Creek,False,False,False,False,False,True
WQS0005,WQS0005_basin1.parquet,1,,0.0,0.0,1.23361136115876,,1488.2325574246734,1488.2325574246734,3.5452072328812005,auto,False,1555.7328,English River,False,False,False,False,False,True
WQS0061,WQS0061_basin1.parquet,1,,0.6730395946531058,0.0,0.14316059749865476,,1057.0248473381112,15.640167501492845,1050.3842061855833,auto,False,1081.3419,Soldier River,False,False,False,False,True,False
USGS-05418110,USGS-05418110_basin0.parquet,0,0.0,0.0,0.0,0.0031050857428255507,317.9142717998822,317.9142717998822,317.9142717998822,312.59888866171326,auto,False,327.2301,North Fork Maquoketa River,False,False,False,False,False,False
WQS0001,WQS0001_basin1.parquet,1,,0.0,0.0,1.6015539583767044,,8145.091767822311,8145.091767822311,78.30955172499688,auto,False,8452.8603,Iowa River,False,False,False,False,False,True
WQS0038,WQS0038_basin1.parquet,1,,0.0,0.0,0.0354588588404517,,504.34208853420824,504.34208853420824,534.0787080564613,auto,False,548.1081,Ioway Creek,False,False,False,False,False,True
WQS0013,WQS0013_basin1.parquet,1,,0.0,0.0,0.041753608981232496,,44.786556160367155,44.786556160367155,764.2146289616546,auto,False,759.6711,Little Cedar River,False,False,False,False,False,True
WQS0014,WQS0014_basin1.parquet,1,,0.0,0.0,0.0,,21.933907155603944,21.933907155603944,17.100599883812826,auto,False,681.4242,Little Cedar River,False,False,False,False,False,True
WQS0021,WQS0021_basin1.parquet,1,,0.0,0.0,0.0,,15.6694621913651,15.6694621913651,12.67683505938643,auto,False,47.7315,Rapid Creek,False,False,False,False,False,True
WQS0114,WQS0114_basin1.parquet,1,,0.0,0.0,0.5880537804873861,,14.04629789464069,14.04629789464069,5.1871101035532865,auto,False,27.2493,Bloody Run,False,False,False,False,False,True
WQS0076,WQS0076_basin1.parquet,1,,0.0,0.0,0.0,,3.7069425482186524,3.7069425482186524,260.46904476706254,auto,False,257.6403,Clear Creek,False,False,False,False,False,True
WQS0043,WQS0043_basin1.parquet,1,,0.0,0.0,0.4842552386091518,,2297.957017737879,2297.957017737879,2297.7505180526814,auto,False,2309.4927,Floyd River,False,False,False,False,False,False
WQS0024,WQS0024_basin1.parquet,1,,0.0,0.0,0.24326596775401904,,582.8927128551205,582.8927128551205,393.17411031777345,auto,False,783.9594,South Fork Iowa River,False,False,False,False,False,True
WQS0040,WQS0040_basin1.parquet,1,,0.0,0.0,4.412997682761488,,2259.4404597812772,2259.4404597812772,299.0106203290982,auto,False,2271.9744,Boyer River,False,False,False,False,False,True
WQS0044,WQS0044_basin1.parquet,1,,0.0,0.0,0.0,,2869.0780238805496,2869.0780238805496,2865.7147105645236,auto,False,4267.1142,West Nishnabotna River,False,False,False,False,False,False
WQS0048,WQS0048_basin1.parquet,1,,0.0,0.0,0.0,,197.75918368486867,197.75918368486867,185.65605289074276,auto,False,198.1467,Tipton Creek,False,False,False,False,False,True
USGS-05464420,USGS-05464420_basin0.parquet,0,0.0,0.0,0.0,0.0,16420.127287106385,16420.127287106385,16420.127287106385,16357.871810444904,auto,False,16672.7826,,False,True,False,False,False,False
WQS0051,WQS0051_basin1.parquet,1,,0.0,0.0,0.0,,184.1143937063514,184.1143937063514,171.4293096579274,auto,False,591.8679,South Fork Iowa River,False,False,False,False,False,True
USGS-05465500,USGS-05465500_basin0.parquet,0,0.0,0.0,0.0,0.5999865903514308,32340.63521506009,32340.63521506009,32340.63521506009,32165.219365587665,auto,False,32341.6755,,False,True,False,False,False,False
WQS0058,WQS0058_basin1.parquet,1,,0.0,0.0,1.4080276206073208,,1.417696321599778,1.417696321599778,4.014801715140299,auto,False,599.1498,North Skunk River,False,False,False,False,False,True
WQS0104,WQS0104_basin1.parquet,1,,0.0,0.0,2.691621870039921,,31.99967762154841,31.99967762154841,1.4315376619268028,auto,False,58.8375,,False,False,False,False,False,True
USGS-05412500,USGS-05412500_basin0.parquet,0,0.0,0.0,0.0,0.0,4023.9953082786733,4023.9953082786733,4023.9953082786733,18.80437944305866,auto,False,4051.8045,Turkey River,False,False,False,False,False,True
WQS0066,WQS0066_basin1.parquet,1,,9.068185980772412,0.0,2.2857997031977226,,2358.6430794490375,763234.694207534,11116.819834332831,auto,False,774846.243,Missouri River,False,True,False,False,True,True
WQS0009,WQS0009_basin1.parquet,1,,0.0,0.0,0.177952904851664,,121.36587645958382,121.36587645958382,118.2170833905779,auto,False,2115.6084,Turkey River,False,False,False,False,False,False
WQS0011,WQS0011_basin1.parquet,1,,0.0,0.0,0.0,,26.570656604582492,26.570656604582492,29.516025437778417,auto,False,64.4202,Clear Creek,False,False,False,False,False,True
WQS0032,WQS0032_basin1.parquet,1,,0.0,0.0,5.552877018618621,,1117.135845948319,1117.135845948319,1014.4887179316622,auto,False,1131.6078,Middle Raccoon River,False,False,False,False,False,True
WQS0053,WQS0053_basin1.parquet,1,,0.0,0.0,1.282638224490881,,20.233749527942635,20.233749527942635,2.7188849308148955,auto,False,36.1008,Walnut Creek,False,False,False,False,False,True
WQS0065,WQS0065_basin1.parquet,1,,5.365051051725192,0.0,0.0,,9220.505482193612,765619.8938976775,34803.295501952176,auto,False,774846.243,Missouri River,False,True,False,False,True,True
WQS0067,WQS0067_basin1.parquet,1,,0.0,0.0,4.465148865378963,,4133.435569018728,4133.435569018728,9.2543644265018,auto,False,4134.0744,Rock River,False,False,False,False,False,True
WQS0064,WQS0064_basin1.parquet,1,,0.0,0.0,4.288934831789039,,2009.1579842423203,1988.348586931634,38.94911114013083,auto,False,2323.3113,Upper Iowa River,False,False,False,False,False,True
WQS0063,WQS0063_basin1.parquet,1,,0.0,0.0,0.0,,574.3951657701481,566.2026605097351,6.909428689882971,auto,False,582.6024,Yellow River,False,False,False,False,False,True
WQS0055,WQS0055_basin1.parquet,1,,0.0,0.0,0.07169810094753516,,18.550853065368035,18.550853065368035,126.70163385116837,auto,False,131.9616,Tipton Creek,False,False,False,False,False,True
WQS0006,WQS0006_basin1.parquet,1,,0.0,0.0,3.1680518289733577,,11098.80237642058,11098.80237642058,64.00244700183059,auto,False,11149.6068,Iowa River,False,True,False,False,False,True
WQS0111,WQS0111_basin1.parquet,1,,0.1295876166395307,0.0,0.15868062093299148,,87.57200285031854,89.57979810684357,85.51040033846252,auto,False,111.0258,Bloody Run,False,False,False,False,False,False
WQS0072,WQS0072_basin1.parquet,1,,0.31665781727180936,0.0,1.588630942158694,,764.5817414762518,774.028686815843,5.309641842783801,auto,False,786.6432,,False,False,False,False,False,True
WQS0033,WQS0033_basin1.parquet,1,,0.0,0.0,3.3705835985101755,,36311.11276404791,36311.11276404791,46.11440498313495,auto,False,36321.8724,Des Moines River,False,True,False,False,False,True
USGS-05418720,USGS-05418720_basin0.parquet,0,0.08825428664842434,0.0,0.0,0.153614020478274,4828.701526292912,4835.134791679487,4835.134791679487,4798.269616335591,auto,False,4835.3373,Maquoketa River,False,False,False,False,False,False
WQS0080,WQS0080_basin1.parquet,1,,0.0,0.0,0.0868942297541911,,223.35096723679735,223.35096723679735,226.30595697543012,auto,False,315.7407,Middle River,False,False,False,False,False,False
WQS0084,WQS0084_basin1.parquet,1,,0.0,0.0,1.6240442946653508,,4336.923145887263,4336.923145887263,6.797671561340768,auto,False,4569.9336,Shell Rock River,False,False,False,False,False,True
USGS-05482500,USGS-05482500_basin0.parquet,0,0.0,0.0,0.0,0.0,4178.82428875221,4178.82428875221,4178.82428875221,4146.971902394574,auto,False,4185.3897,North Raccoon River,False,False,False,False,False,False
USGS-05455100,USGS-05455100_basin0.parquet,0,0.0,0.0670763068437072,0.0,0.23242083525633644,523.3526497466479,520.1244470751615,523.3526497466479,519.080225721905,auto,False,532.1439,Old Mans Creek,False,False,False,False,False,False
USGS-05484500,USGS-05484500_basin0.parquet,0,0.0,0.0,0.0,0.7957423613704961,8874.027788691732,8874.027788691732,8874.027788691732,8787.410895406776,auto,False,8891.8227,North Raccoon River,False,False,False,False,False,False
WQS0007,WQS0007_basin1.parquet,1,,0.0,0.0,0.0,,20156.098820034626,20156.098820034626,19875.992790860568,auto,False,20183.5953,Cedar River,False,True,False,False,False,False
WQS0025,WQS0025_basin1.parquet,1,,0.0,0.0,0.6359237179289041,,107.14325884708754,107.14325884708754,30.635652891956916,auto,False,210880.8558,Mississippi River,False,True,False,False,False,True
USGS-06603750,USGS-06603750_basin0.parquet,0,0.0,0.0,0.0,0.0,43.505149259145846,43.505149259145846,43.505149259145846,39.954676702780205,auto,False,70.5618,,False,False,False,False,False,True
WQS0027,WQS0027_basin1.parquet,1,,0.0,0.0,2.9526510781871615,,106.01867887280223,106.01867887280223,119.95395647722987,auto,False,15217.8876,Cedar River,False,True,False,False,False,True
WQS0102,WQS0102_basin1.parquet,1,,0.0,0.0,0.0,,30.35791700896489,30.35791700896489,33.66657789998463,auto,False,54.3348,Mud Creek,False,False,False,False,False,True
