parameter_code,approval_status,begin,end,n
00010,Approved,2015-03-27 05:00:00+00:00,2021-08-02 05:00:00+00:00,415046
00060,Approved,2015-03-27 05:00:00+00:00,2021-08-02 05:00:00+00:00,323532
00065,Approved,2015-03-27 05:00:00+00:00,2021-08-02 05:00:00+00:00,330029
00095,Approved,2015-04-07 05:00:00+00:00,2021-08-02 05:00:00+00:00,201413
00300,Approved,2015-04-07 05:00:00+00:00,2021-08-02 05:00:00+00:00,205984
00301,Approved,2015-03-28 05:00:00+00:00,2021-08-02 05:00:00+00:00,205148
00400,Approved,2015-04-06 19:30:00+00:00,2021-08-02 05:00:00+00:00,198884
99133,Approved,2015-03-28 05:00:00+00:00,2021-08-02 05:00:00+00:00,168030
