parameter_code,approval_status,begin,end,n
00060,Approved,2013-04-27 05:00:00+00:00,2013-08-21 05:00:00+00:00,28515
99133,Approved,2013-04-27 05:00:00+00:00,2013-08-21 04:45:00+00:00,9497
