parameter_code,approval_status,begin,end,n
00060,Approved,2010-05-18 05:00:00+00:00,2015-11-10 05:00:00+00:00,181901
00065,Approved,2010-05-18 05:00:00+00:00,2015-11-10 05:00:00+00:00,190923
99133,Approved,2010-05-18 05:00:00+00:00,2015-11-10 04:45:00+00:00,144219
