parameter_code,approval_status,begin,end,n
00010,Approved,2010-07-30 05:00:00+00:00,2011-11-29 05:00:00+00:00,46024
00060,Approved,2010-07-30 05:00:00+00:00,2011-11-29 05:00:00+00:00,37915
00065,Approved,2010-07-30 05:00:00+00:00,2011-11-29 05:00:00+00:00,46545
00095,Approved,2010-07-30 05:00:00+00:00,2011-11-29 05:00:00+00:00,41634
00300,Approved,2010-07-30 05:00:00+00:00,2011-11-29 05:00:00+00:00,33251
00400,Approved,2010-07-30 05:00:00+00:00,2011-11-29 05:00:00+00:00,35450
99133,Approved,2010-07-30 05:00:00+00:00,2011-11-29 05:00:00+00:00,34107
