parameter_code,approval_status,begin,end,n
00060,Approved,2013-06-14 05:00:00+00:00,2014-09-05 04:55:00+00:00,37674
99133,Approved,2013-06-14 05:00:00+00:00,2014-10-03 04:45:00+00:00,25060
