parameter_code,approval_status,begin,end,n
00010,Approved,2012-05-25 05:00:00+00:00,2014-11-12 05:00:00+00:00,89561
00060,Approved,2012-05-25 05:00:00+00:00,2014-11-12 05:00:00+00:00,67355
00065,Approved,2012-05-25 05:00:00+00:00,2014-11-12 05:00:00+00:00,82876
00095,Approved,2013-05-11 05:00:00+00:00,2013-08-07 04:59:08+00:00,8408
00300,Approved,2013-05-11 05:00:00+00:00,2013-08-06 04:59:55+00:00,8330
00301,Approved,2013-05-11 05:00:00+00:00,2013-08-06 04:59:55+00:00,8329
00400,Approved,2013-05-11 05:00:00+00:00,2013-08-06 04:59:55+00:00,8328
99133,Approved,2012-05-25 05:00:00+00:00,2014-11-12 05:00:00+00:00,56684
