parameter_code,approval_status,begin,end,n
00010,Approved,2012-04-19 05:00:00+00:00,2012-10-01 04:45:00+00:00,15633
00060,Approved,2009-04-14 05:00:00+00:00,2012-10-01 05:00:00+00:00,110759
00065,Approved,2009-04-14 05:00:00+00:00,2012-10-01 05:00:00+00:00,120935
99133,Approved,2009-04-14 05:00:00+00:00,2012-10-01 05:00:00+00:00,61198
