parameter_code,approval_status,begin,end,n
00010,Approved,2012-03-15 05:00:00+00:00,2017-10-02 05:00:00+00:00,178853
00060,Approved,2012-03-15 05:00:00+00:00,2017-10-02 05:00:00+00:00,156657
00065,Approved,2012-03-15 05:00:00+00:00,2017-10-02 05:00:00+00:00,193222
99133,Approved,2012-03-15 05:00:00+00:00,2017-10-02 05:00:00+00:00,120123
