parameter_code,approval_status,begin,end,n
00010,Approved,2012-05-16 05:00:00+00:00,2014-11-13 05:00:00+00:00,84416
00060,Approved,2012-05-16 05:00:00+00:00,2014-11-13 05:00:00+00:00,66368
99133,Approved,2012-05-16 05:00:00+00:00,2014-11-13 05:00:00+00:00,55882
