parameter_code,approval_status,begin,end,n
00010,Approved,2012-06-01 05:00:00+00:00,2015-11-05 05:00:00+00:00,100047
00060,Approved,2012-05-09 05:00:00+00:00,2015-11-05 05:00:00+00:00,96348
00065,Approved,2012-05-09 05:00:00+00:00,2015-11-05 05:00:00+00:00,118457
99133,Approved,2012-05-18 05:00:00+00:00,2015-10-31 04:45:00+00:00,68765
