site_uid,datetime,nitrate_con,r_exc,m_exc,temp_water,ph,spec_cond,diss_oxy_con,diss_oxy_sat,chloro_v,chloro_con,turbi_mean,turbi_var,turbi_med,turbi_bes,turbi_min,turbi_max,dts_temp_water,phosphate_con,ph_v2,spec_cond_v2,diss_oxy_con_v2,diss_oxy_sat_v2,turbi_mean_v2
SCN0002,2019-11-07 14:12:00-06,,,,,,,,,,,,,,,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-07 14:27:00-06,,,,,,,,,,,,,,,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-07 14:29:00-06,,,,,,,,,,,,,,,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-08 10:56:00-06,,,,,,,,,,,,,,,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-08 10:58:00-06,,,,,,,,,,,,,,,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-08 11:15:00-06,,,,,,,,,,,,,,,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 13:54:00-06,,,,,,,,,,,,1222.39,,,5.0,9.0,,,,,,,
SCN0002,2019-11-15 14:02:00-06,,,,,,,,,,,,1222.39,,,5.0,9.0,,,,,,,
SCN0002,2019-11-15 14:08:00-06,,,,,,,,,,,,11.04,,441.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:10:00-06,,,,,,,,,,,,10.53,,494.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:11:00-06,,,,,,,,,,,,9.97,,553.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:28:00-06,,,,,,,,,,,,7.93,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:30:00-06,,,,,,,,,,,,7.8,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:33:00-06,,,,,,,,,,,,7.67,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:37:00-06,,,,,,,,,,,,7.59,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:44:00-06,,,,,,,,,,,,11.0,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:45:00-06,,,,,,,,,,,,10.57,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:52:00-06,,,,,,,,,,,,9.28,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:54:00-06,,,,,,,,,,,,9.0,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:56:00-06,,,,,,,,,,,,8.77,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 14:58:00-06,,,,,,,,,,,,8.59,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 15:00:00-06,,,,,,,,,,,,8.44,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 15:04:00-06,,,,,,,,,,,,8.21,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 15:08:00-06,,,,,,,,,,,,8.04,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 15:10:00-06,,,,,,,,,,,,7.95,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 15:34:00-06,,,,,,,,,,,,7.71,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 15:36:00-06,,,,,,,,,,,,7.71,,790.0,5.0,9.0,1.0,,,,,,
SCN0002,2019-11-15 15:38:00-06,,,,,,,,,,,,7.69,,790.0,5.0,9.0,1.0,,,,,,
