site_uid,datetime,nitrate_con,r_exc,m_exc,temp_water,ph,spec_cond,diss_oxy_con,diss_oxy_sat,chloro_v,chloro_con,turbi_mean,turbi_var,turbi_med,turbi_bes,turbi_min,turbi_max,dts_temp_water,phosphate_con,ph_v2,spec_cond_v2,diss_oxy_con_v2,diss_oxy_sat_v2,turbi_mean_v2
WQS9904,2017-11-03 13:35:00-05,0.33,0.3,0.35,,,,,,,,,,,,,,,,,,,,
WQS9904,2017-11-09 13:15:00-06,5.5,0.2,0.84,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 21:00:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 21:15:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 21:30:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 21:45:00-05,0.44,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 22:00:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 22:15:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 22:30:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 22:45:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 23:00:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 23:15:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 23:30:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-18 23:45:00-05,0.44,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 00:00:00-05,0.43,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 00:15:00-05,0.43,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 00:30:00-05,0.43,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 00:45:00-05,0.43,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 01:00:00-05,0.43,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 01:15:00-05,0.43,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 01:30:00-05,0.43,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 01:45:00-05,0.43,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 02:00:00-05,0.43,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 02:15:00-05,0.43,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 02:30:00-05,0.43,0.01,0.04,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 02:45:00-05,0.43,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 03:00:00-05,0.43,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 03:15:00-05,0.42,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 03:30:00-05,0.42,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 03:45:00-05,0.42,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 04:00:00-05,0.42,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 04:15:00-05,0.42,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 04:30:00-05,0.42,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 04:45:00-05,0.42,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 05:00:00-05,0.42,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 05:15:00-05,0.42,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 05:30:00-05,0.42,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 05:45:00-05,0.41,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 06:00:00-05,0.41,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 06:15:00-05,0.42,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 06:30:00-05,0.41,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 06:45:00-05,0.42,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 07:00:00-05,0.41,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 07:15:00-05,0.41,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 07:30:00-05,0.41,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 07:45:00-05,0.41,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 08:00:00-05,0.41,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 08:15:00-05,0.41,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 08:30:00-05,0.41,0.01,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 08:45:00-05,0.41,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-19 09:00:00-05,0.41,,0.03,,,,,,,,,,,,,,,,,,,,
WQS9904,2022-07-20 15:10:00-05,,,,,,,,,,,,,,,,0.02,22.3,,,,,,
WQS9904,2022-07-20 15:28:00-05,,,,,,,,,,,,,,,,0.03,22.5,,,,,,
WQS9904,2022-07-20 15:31:00-05,,,,,,,,,,,,,,,,0.02,22.5,,,,,,
WQS9904,2022-07-20 16:26:00-05,,0.02,0.01,,,,,,,,,,,,,,26.5,,,,,,
WQS9904,2022-07-20 17:00:00-05,,0.02,0.01,,,,,,,,,,,,,,24.6,,,,,,
WQS9904,2022-07-20 17:15:00-05,,0.01,0.01,,,,,,,,,,,,,,24.0,,,,,,
WQS9904,2022-07-20 17:30:00-05,,0.02,0.01,,,,,,,,,,,,,,23.6,,,,,,
WQS9904,2022-07-20 17:45:00-05,,0.02,0.01,,,,,,,,,,,,,,23.3,,,,,,
WQS9904,2022-07-20 18:00:00-05,,0.02,0.01,,,,,,,,,,,,,,23.1,,,,,,
WQS9904,2022-07-20 18:15:00-05,,0.02,0.01,,,,,,,,,,,,,,22.8,,,,,,
WQS9904,2022-07-20 18:30:00-05,,0.02,0.01,,,,,,,,,,,,,,22.6,,,,,,
WQS9904,2022-07-20 18:45:00-05,,0.02,0.01,,,,,,,,,,,,,,22.5,,,,,,
WQS9904,2022-07-20 19:00:00-05,,0.02,,,,,,,,,,,,,,,22.3,,,,,,
WQS9904,2022-07-20 19:15:00-05,,0.02,0.01,,,,,,,,,,,,,,22.2,,,,,,
WQS9904,2022-07-20 19:30:00-05,,0.02,0.01,,,,,,,,,,,,,,22.0,,,,,,
WQS9904,2022-07-20 19:45:00-05,,0.01,,,,,,,,,,,,,,,21.8,,,,,,
WQS9904,2022-07-20 20:00:00-05,,0.02,0.01,,,,,,,,,,,,,,21.6,,,,,,
WQS9904,2022-07-20 20:15:00-05,,0.02,0.01,,,,,,,,,,,,,,21.4,,,,,,
WQS9904,2022-07-20 20:30:00-05,,0.01,,,,,,,,,,,,,,,21.2,,,,,,
WQS9904,2022-07-20 20:45:00-05,,0.02,0.01,,,,,,,,,,,,,,21.0,,,,,,
WQS9904,2022-07-20 21:00:00-05,,0.01,,,,,,,,,,,,,,,20.8,,,,,,
WQS9904,2022-07-20 21:15:00-05,,0.02,0.01,,,,,,,,,,,,,,20.6,,,,,,
WQS9904,2022-07-20 21:30:00-05,,0.02,0.01,,,,,,,,,,,,,,20.5,,,,,,
WQS9904,2022-07-20 21:45:00-05,,0.01,,,,,,,,,,,,,,,20.3,,,,,,
WQS9904,2022-07-20 22:00:00-05,,0.02,0.01,,,,,,,,,,,,,,20.2,,,,,,
WQS9904,2022-07-20 22:15:00-05,,0.02,0.01,,,,,,,,,,,,,,20.0,,,,,,
WQS9904,2022-07-20 22:30:00-05,,0.01,,,,,,,,,,,,,,,19.9,,,,,,
WQS9904,2022-07-20 22:45:00-05,,0.02,,,,,,,,,,,,,,,19.8,,,,,,
WQS9904,2022-07-20 23:00:00-05,,0.01,,,,,,,,,,,,,,,19.7,,,,,,
WQS9904,2022-07-20 23:15:00-05,,0.02,0.01,,,,,,,,,,,,,,19.7,,,,,,
WQS9904,2022-07-20 23:30:00-05,,0.02,,,,,,,,,,,,,,,19.6,,,,,,
WQS9904,2022-07-20 23:45:00-05,,0.01,,,,,,,,,,,,,,,19.5,,,,,,
WQS9904,2022-07-21 00:00:00-05,,0.01,,,,,,,,,,,,,,,19.4,,,,,,
WQS9904,2022-07-21 00:15:00-05,,0.02,0.01,,,,,,,,,,,,,,19.4,,,,,,
WQS9904,2022-07-21 00:30:00-05,,0.02,,,,,,,,,,,,,,,19.3,,,,,,
WQS9904,2022-07-21 00:45:00-05,,0.01,,,,,,,,,,,,,,,19.2,,,,,,
WQS9904,2022-07-21 01:00:00-05,,0.02,0.01,,,,,,,,,,,,,,19.2,,,,,,
WQS9904,2022-07-21 01:15:00-05,,0.01,,,,,,,,,,,,,,,19.1,,,,,,
WQS9904,2022-07-21 01:30:00-05,,0.01,,,,,,,,,,,,,,,19.1,,,,,,
WQS9904,2022-07-21 01:45:00-05,,0.02,,,,,,,,,,,,,,,19.0,,,,,,
WQS9904,2022-07-21 02:00:00-05,,0.01,,,,,,,,,,,,,,,19.0,,,,,,
WQS9904,2022-07-21 02:15:00-05,,0.01,,,,,,,,,,,,,,,18.9,,,,,,
WQS9904,2022-07-21 02:30:00-05,,0.02,,,,,,,,,,,,,,,18.9,,,,,,
WQS9904,2022-07-21 02:45:00-05,,0.02,,,,,,,,,,,,,,,18.9,,,,,,
WQS9904,2022-07-21 03:00:00-05,,0.02,,,,,,,,,,,,,,,18.8,,,,,,
WQS9904,2022-07-21 03:15:00-05,,0.01,,,,,,,,,,,,,,,18.8,,,,,,
WQS9904,2022-07-21 03:30:00-05,,0.01,,,,,,,,,,,,,,,18.7,,,,,,
