site_uid,datetime,nitrate_con,r_exc,m_exc,temp_water,ph,spec_cond,diss_oxy_con,diss_oxy_sat,chloro_v,chloro_con,turbi_mean,turbi_var,turbi_med,turbi_bes,turbi_min,turbi_max,dts_temp_water,phosphate_con,ph_v2,spec_cond_v2,diss_oxy_con_v2,diss_oxy_sat_v2,turbi_mean_v2
WQS9995,2018-08-26 17:45:00-05,,,,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 10:41:00-05,,,,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 10:45:00-05,,0.03,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 10:50:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 10:55:00-05,,0.05,0.04,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 11:00:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 11:15:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 11:30:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 11:45:00-05,,0.03,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 12:00:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 12:15:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 12:25:00-05,,,,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 12:30:00-05,,0.05,0.05,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 12:45:00-05,,0.04,0.04,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 13:00:00-05,,0.04,0.04,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 13:15:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 13:30:00-05,,0.05,0.04,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 13:45:00-05,,0.05,0.04,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 14:00:00-05,,0.04,0.04,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 14:15:00-05,,0.05,0.04,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 14:30:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 14:45:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 15:00:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 15:15:00-05,,0.04,0.04,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 15:30:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 15:45:00-05,,0.05,0.04,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 16:00:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 16:15:00-05,,0.05,0.04,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 16:30:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 16:45:00-05,,0.04,0.03,,,,,,,,,,,,,,,,,,,,
WQS9995,2023-03-14 17:00:00-05,,0.05,0.04,,,,,,,,,,,,,,,,,,,,
