year,min_surplus_kgha,max_surplus_kgha,min_total_kg_N,max_total_kg_N
2000,3.68,205.02,1281.375,1281.375
2001,3.54,195.94,1224.625,1224.625
2002,3.52,229.16,1432.25,1432.25
2003,2.94,231.85,1449.0625,1449.0625
2004,3.23,250.88,1568.0,1568.0
2005,3.49,257.25,1607.8125,1607.8125
2006,2.99,291.73,1823.3126,1823.3126
2007,3.06,338.82,2117.625,2117.625
2008,2.62,324.84,2030.25,2030.25
2009,2.37,313.03,1956.4375,1956.4375
2010,2.81,315.44,1971.5,1971.5
2011,2.59,351.25,2195.3125,2195.3125
2012,2.52,401.19,2507.4375,2507.4375
2013,2.57,403.29,2520.5625,2520.5625
2014,2.62,412.42,2577.625,2577.625
2015,2.43,388.61,2428.8125,2428.8125
2016,2.77,406.8,2542.5,2542.5
2017,2.49,394.29,2464.3125,2464.3125
