parameter_code,approval_status,begin,end,n
00060,Approved,2012-06-01 05:00:00+00:00,2015-10-01 05:00:00+00:00,80412
00065,Approved,2012-06-01 05:00:00+00:00,2015-10-01 05:00:00+00:00,113774
99133,Approved,2012-06-01 05:00:00+00:00,2015-10-01 05:00:00+00:00,76252
