parameter_code,approval_status,begin,end,n
00010,Approved,2014-05-23 05:00:00+00:00,2018-10-04 16:00:00+00:00,108546
00060,Approved,2014-06-30 05:00:00+00:00,2018-10-04 16:00:00+00:00,101621
00065,Approved,2014-05-23 05:00:00+00:00,2018-10-23 05:00:00+00:00,152907
99133,Approved,2014-05-23 05:00:00+00:00,2018-10-23 05:00:00+00:00,101323
