GEOID,ALAND,AWATER,farm_acre_as_percent,crop_acre_as_percent,area_land_km2,area_water_km2,farm_area_km2,crop_area_km2
48177,2762704870,8204086,90.0,8.57,2762.70487,8.204086,2486.4343830000003,236.76380735900003
47115,1290244637,36484742,17.3,7.24,1290.244637,36.484742,223.21232220100003,93.4137117188
26007,1481123848,2908714548,17.9,11.53,1481.123848,2908.714548,265.12116879199993,170.7735796744
21231,1186687833,67286710,32.8,11.77,1186.687833,67.28671,389.23360922399996,139.67315794409998
47185,975592111,7113368,49.2,17.35,975.592111,7.113368,479.99131861200004,169.26523125850002
48147,2307250942,20847063,84.5,37.25,2307.250942,20.847063,1949.6270459900002,859.450975895
20043,1019094906,12434954,70.5,57.55,1019.094906,12.434954,718.46190873,586.4891184029999
48265,2857602924,10246419,73.3,2.27,2857.602924,10.246419,2094.6229432919995,64.8675863748
12053,1224692722,300863005,16.6,2.71,1224.692722,300.863005,203.29899185200003,33.1891727662
12129,1570625279,334901690,6.1,0.5,1570.625279,334.90169,95.808142019,7.853126395
12131,2687686788,522848570,13.4,3.48,2687.686788,522.84857,360.150029592,93.53150022239998
28017,1299609263,6380767,53.6,28.78,1299.609263,6.380767,696.5905649680001,374.0275458914
26035,1461741364,28501274,15.1,8.42,1461.741364,28.501274,220.722945964,123.07862284880001
20157,1857980543,7969708,81.3,58.61,1857.980543,7.969708,1510.5381814589998,1088.9623962522999
12127,2852082296,857948738,16.2,3.56,2852.082296,857.948738,462.03733195200005,101.5341297376
40017,2322265669,23229300,86.8,44.54,2322.265669,23.2293,2015.7266006919997,1034.3371289725999
13115,1320436485,22382107,22.9,6.65,1320.436485,22.382107,302.37995506499993,87.8090262525
32001,12770128151,242405502,7.9,1.5,12770.128151,242.405502,1008.8401239290001,191.55192226500003
31181,1489017971,337241,89.4,56.03,1489.017971,0.337241,1331.182066074,834.2967691512999
17067,2055740566,53535827,89.6,74.45,2055.740566,53.535827,1841.9435471359998,1530.4988513869998
46067,2105695489,3644220,87.6,69.91,2105.695489,3.64422,1844.589248364,1472.0917163599
41013,7715298889,21091929,41.9,2.58,7715.298889,21.091929,3232.710234491,199.05471133619997
50011,1641633748,150930318,46.8,20.5,1641.633748,150.930318,768.284594064,336.53491834
26103,4685386476,4185372277,2.6,0.98,4685.386476,4185.372277,121.82004837599999,45.9167874648
09007,956493768,180679144,6.9,2.74,956.493768,180.679144,65.99806999200001,26.207929243200002
37057,1432711780,37452228,26.1,12.85,1432.71178,37.452228,373.93777458000005,184.10346373000002
17025,1212958827,3278251,98.2,86.31,1212.958827,3.278251,1191.1255681139999,1046.9047635837
29103,1305376708,7307012,73.0,50.12,1305.376708,7.307012,952.92499684,654.2548060495999
29117,1378706292,16156752,83.7,63.13,1378.706292,16.156752,1153.9771664040002,870.3772821396001
42117,2936469292,8257078,29.3,16.98,2936.469292,8.257078,860.3855025560001,498.61248578160007
31043,684416197,8199748,98.5,89.34,684.416197,8.199748,674.1499540450001,611.4574303998
26089,899206779,5659140425,22.5,13.48,899.206779,5659.140425,202.321525275,121.2130738092
51181,722475755,81216907,23.6,14.24,722.475755,81.216907,170.50427818000003,102.880547512
48391,1995545559,123687613,99.1,11.41,1995.545559,123.687613,1977.5856489689997,227.6917482819
39017,1209498280,7863952,41.5,30.83,1209.49828,7.863952,501.94178619999997,372.888319724
13273,868785319,5861795,62.4,41.08,868.785319,5.861795,542.122039056,356.8970090452
13063,366881210,7038080,0.6,0.18,366.88121,7.03808,2.20128726,0.660386178
