,monitoring_location_id,lat,lon
0,USGS-05412500,42.7399884281497,-91.2617990802579
1,USGS-05418110,42.470333,-91.124556
2,USGS-05418400,42.1643333333333,-90.7293333333333
3,USGS-05418720,42.1638611111111,-90.3350833333333
4,USGS-05420500,41.7805863501123,-90.2520730305021
5,USGS-05451210,42.3153055555556,-93.1521944444444
6,USGS-05455100,41.6064055555556,-91.6157222222222
7,USGS-05464420,42.0691638888889,-91.7851805555556
8,USGS-05464475,41.9894159694734,-91.7595985412444
9,USGS-05464500,41.9719454904984,-91.6671239375737
10,USGS-0546494205,41.6700555555556,-91.3445277777778
11,USGS-05465500,41.1780861111111,-91.1820916666667
12,USGS-05474500,40.3936553481252,-91.3743179848803
13,USGS-05480603,42.4108888888889,-94.1413055555556
14,USGS-05480986,42.49325,-93.7668055555555
15,USGS-05481000,42.4319722222222,-93.8059444444444
16,USGS-05482000,41.6119444444444,-93.6197222222222
17,USGS-05482300,42.3545555555556,-94.9910277777778
18,USGS-05482500,41.9878611111111,-94.3770833333333
19,USGS-05483600,41.6874166666667,-94.3710555555555
20,USGS-05484000,41.5904166666667,-94.1511666666667
21,USGS-05484500,41.5340277777778,-93.9497777777778
22,USGS-06603750,43.4586944444444,-95.3435833333333
23,USGS-06604440,43.21277777777778,-95.23916666666666
24,USGS-06808500,40.8732777777778,-95.5814444444444
25,USGS-06817000,40.7432222222222,-95.0145277777778
26,USGS-415959091441301,41.999611111111115,-91.73691666666667
