"Gravelly"|"165025643"|"48886575"
"Very gravelly"|"165025657"|"48886466"
"Very gravelly"|"165025669"|"48886465"
"Gravelly"|"165025692"|"48886576"
"Gravelly"|"165025695"|"48886577"
"Gravelly"|"165025703"|"48886317"
"Extremely gravelly"|"165025704"|"48886318"
"Very gravelly"|"165025716"|"48886467"
"Very gravelly"|"165025720"|"48886468"
"Gravelly"|"165025746"|"48886550"
"Very gravelly"|"165025747"|"48886551"
"Gravelly"|"165025753"|"48886578"
"Gravelly"|"165025756"|"48886579"
"Very gravelly"|"165025770"|"48886469"
"Very gravelly"|"165025774"|"48886470"
"Gravelly"|"165025782"|"48886319"
"Extremely gravelly"|"165025783"|"48886320"
"Gravelly"|"165025809"|"48886552"
"Very gravelly"|"165025810"|"48886553"
"Gravelly"|"165025816"|"48886580"
"Gravelly"|"165025819"|"48886581"
"Very gravelly"|"165025834"|"48887108"
"Very gravelly"|"165025838"|"48887109"
"Gravelly"|"165025846"|"48887110"
"Extremely gravelly"|"165025847"|"48887111"
"Gravelly"|"165025876"|"48887112"
"Very gravelly"|"165025877"|"48887113"
"Gravelly"|"165025881"|"48887114"
"Gravelly"|"165025884"|"48887115"
"Extremely gravelly"|"165025896"|"48886299"
"Very gravelly"|"165025897"|"48886300"
"Very gravelly"|"165025898"|"48886298"
"Very gravelly"|"165025899"|"48886297"
"Very gravelly"|"165025900"|"48886296"
"Gravelly"|"165025917"|"48886198"
"Gravelly"|"165025918"|"48886197"
"Gravelly"|"165025919"|"48886196"
"Gravelly"|"165025920"|"48886195"
"Very gravelly"|"165025928"|"48886471"
"Very gravelly"|"165025932"|"48886472"
"Gravelly"|"165025954"|"48886582"
"Gravelly"|"165025957"|"48886583"
"Extremely gravelly"|"165025961"|"48886322"
"Gravelly"|"165025963"|"48886321"
"Very gravelly"|"165025980"|"48886473"
"Very gravelly"|"165025984"|"48886474"
"Extremely gravelly"|"165026008"|"48886324"
"Gravelly"|"165026010"|"48886323"
"Very gravelly"|"165026012"|"48886338"
"Gravelly"|"165026013"|"48886339"
"Gravelly"|"165026014"|"48886340"
"Very cobbly"|"165026015"|"48886341"
"Very gravelly"|"165026016"|"48886342"
"Gravelly"|"165026017"|"48886343"
"Very gravelly"|"165026018"|"48886344"
"Gravelly"|"165026021"|"48886333"
"Gravelly"|"165026022"|"48886334"
"Gravelly"|"165026025"|"48886335"
"Gravelly"|"165026028"|"48886336"
"Gravelly"|"165026030"|"48886337"
"Gravelly"|"165026033"|"48886224"
"Very gravelly"|"165026034"|"48886227"
"Very gravelly"|"165026035"|"48886228"
"Gravelly"|"165026041"|"48886226"
"Gravelly"|"165026044"|"48886225"
"Gravelly"|"165026053"|"48886167"
"Gravelly"|"165026058"|"48886548"
"Extremely gravelly"|"165026061"|"48886316"
"Extremely gravelly"|"165026062"|"48886315"
"Very gravelly"|"165026063"|"48886314"
"Very gravelly"|"165026064"|"48886245"
"Gravelly"|"165026065"|"48886244"
"Gravelly"|"165026066"|"48886243"
"Gravelly"|"165026067"|"48886242"
"Extremely gravelly"|"165026068"|"48886366"
"Very gravelly"|"165026069"|"48886367"
"Gravelly"|"165026070"|"48886368"
"Very gravelly"|"165026071"|"48886369"
"Extremely gravelly"|"165026072"|"48886373"
"Gravelly"|"165026073"|"48886361"
"Extremely gravelly"|"165026075"|"48886362"
"Very gravelly"|"165026076"|"48886363"
"Gravelly"|"165026077"|"48886364"
"Gravelly"|"165026078"|"48886365"
"Extremely gravelly"|"165026079"|"48886370"
"Very gravelly"|"165026080"|"48886371"
"Extremely gravelly"|"165026081"|"48886372"
"Very gravelly"|"165026119"|"48887094"
"Very gravelly"|"165026122"|"48887095"
"Gravelly"|"165026129"|"48887092"
"Very gravelly"|"165026130"|"48887093"
"Gravelly"|"165026143"|"48887096"
"Gravelly"|"165026146"|"48887097"
"Gravelly"|"165026160"|"48887172"
"Gravelly"|"165026163"|"48887173"
"Gravelly"|"165026178"|"48887174"
"Very gravelly"|"165026179"|"48887175"
"Gravelly"|"165026188"|"48887176"
"Gravelly"|"165026189"|"48887177"
"Gravelly"|"165026190"|"48887178"
"Gravelly"|"165026191"|"48887179"
"Gravelly"|"165026194"|"48886584"
"Gravelly"|"165026197"|"48886585"
"Very gravelly"|"165026209"|"48886475"
"Very gravelly"|"165026213"|"48886476"
"Gravelly"|"165026229"|"48886554"
"Very gravelly"|"165026230"|"48886555"
"Very gravelly"|"165026240"|"48887203"
"Gravelly"|"165026256"|"48887204"
"Gravelly"|"165026259"|"48887205"
"Gravelly"|"165026262"|"48886586"
"Gravelly"|"165026265"|"48886587"
"Gravelly"|"165026276"|"48886556"
"Very gravelly"|"165026277"|"48886557"
"Gravelly"|"165026284"|"48886325"
"Extremely gravelly"|"165026291"|"48886326"
"Extremely gravelly"|"165026296"|"48886531"
"Very gravelly"|"165026297"|"48886532"
"Gravelly"|"165026298"|"48886533"
"Extremely gravelly"|"165026299"|"48886534"
"Gravelly"|"165026300"|"48886535"
"Very gravelly"|"165026301"|"48886536"
"Extremely gravelly"|"165026302"|"48886537"
"Gravelly"|"165026303"|"48886538"
"Extremely gravelly"|"165026304"|"48886539"
"Very gravelly"|"165026305"|"48886511"
"Extremely gravelly"|"165026306"|"48886512"
"Gravelly"|"165026307"|"48886509"
"Very gravelly"|"165026308"|"48886510"
"Very gravelly"|"165026310"|"48886508"
"Gravelly"|"165026311"|"48886506"
"Very gravelly"|"165026312"|"48886507"
"Gravelly"|"165026313"|"48886505"
"Gravelly"|"165026340"|"48887077"
"Gravelly"|"165026341"|"48887078"
"Gravelly"|"165026342"|"48887079"
"Gravelly"|"165026343"|"48887080"
"Gravelly"|"165026355"|"48886588"
"Gravelly"|"165026358"|"48886589"
"Gravelly"|"165026361"|"48886558"
"Very gravelly"|"165026362"|"48886559"
"Extremely gravelly"|"165026373"|"48886328"
"Gravelly"|"165026375"|"48886327"
"Gravelly"|"165026379"|"48886590"
"Gravelly"|"165026382"|"48886591"
"Very gravelly"|"165026395"|"48886477"
"Very gravelly"|"165026399"|"48886478"
"Gravelly"|"165026409"|"48886560"
"Very gravelly"|"165026410"|"48886561"
"Extremely gravelly"|"165026421"|"48886330"
"Gravelly"|"165026423"|"48886329"
"Very gravelly"|"165026446"|"48886479"
"Very gravelly"|"165026450"|"48886480"
"Gravelly"|"165026476"|"48886592"
"Gravelly"|"165026479"|"48886593"
"Very gravelly"|"165026506"|"48886481"
"Very gravelly"|"165026510"|"48886482"
"Gravelly"|"165026512"|"48886594"
"Gravelly"|"165026515"|"48886595"
"Very gravelly"|"165026544"|"48886613"
"Gravelly"|"165026545"|"48886606"
"Gravelly"|"165026547"|"48886607"
"Gravelly"|"165026548"|"48886608"
"Gravelly"|"165026549"|"48886609"
"Gravelly"|"165026550"|"48886610"
"Very gravelly"|"165026551"|"48886611"
"Very gravelly"|"165026552"|"48886612"
"Very gravelly"|"165026570"|"48886483"
"Very gravelly"|"165026574"|"48886484"
"Gravelly"|"165026586"|"48886562"
"Very gravelly"|"165026587"|"48886563"
"Gravelly"|"165026590"|"48886348"
"Gravelly"|"165026592"|"48886349"
"Gravelly"|"165026593"|"48886347"
"Gravelly"|"165026596"|"48886345"
"Gravelly"|"165026597"|"48886346"
"Very gravelly"|"165026602"|"48886354"
"Gravelly"|"165026603"|"48886355"
"Very gravelly"|"165026604"|"48886356"
"Very gravelly"|"165026605"|"48886350"
"Gravelly"|"165026606"|"48886351"
"Gravelly"|"165026607"|"48886352"
"Very cobbly"|"165026608"|"48886353"
"Gravelly"|"165026617"|"48886615"
"Gravelly"|"165026618"|"48886616"
"Gravelly"|"165026619"|"48886617"
"Gravelly"|"165026620"|"48886618"
"Very gravelly"|"165026621"|"48886619"
"Very gravelly"|"165026622"|"48886620"
"Very gravelly"|"165026623"|"48886621"
"Gravelly"|"165026624"|"48886614"
"Gravelly"|"165026644"|"48887127"
"Gravelly"|"165026645"|"48887130"
"Gravelly"|"165026646"|"48887128"
"Gravelly"|"165026647"|"48887129"
"Gravelly"|"165026651"|"48887131"
"Gravelly"|"165026654"|"48887132"
"Gravelly"|"165026655"|"48887133"
"Very gravelly"|"165026656"|"48887134"
"Very gravelly"|"165026657"|"48887135"
"Gravelly"|"165026660"|"48887126"
"Gravelly"|"165026664"|"48886596"
"Gravelly"|"165026667"|"48886597"
"Gravelly"|"165026673"|"48886564"
"Very gravelly"|"165026674"|"48886565"
"Gravelly"|"165026682"|"48887098"
"Very gravelly"|"165026683"|"48887099"
"Gravelly"|"165026687"|"48887100"
"Gravelly"|"165026690"|"48887101"
"Gravelly"|"165026693"|"48886566"
"Very gravelly"|"165026694"|"48886567"
"Very gravelly"|"165026710"|"48886485"
"Very gravelly"|"165026714"|"48886486"
"Gravelly"|"165026716"|"48886598"
"Gravelly"|"165026719"|"48886599"
"Extremely gravelly"|"165026733"|"48886294"
"Very gravelly"|"165026734"|"48886295"
"Very gravelly"|"165026735"|"48886293"
"Very gravelly"|"165026736"|"48886292"
"Very gravelly"|"165026737"|"48886291"
"Gravelly"|"165026754"|"48886194"
"Gravelly"|"165026755"|"48886193"
"Gravelly"|"165026756"|"48886192"
"Gravelly"|"165026757"|"48886191"
"Extremely gravelly"|"165026766"|"48886304"
"Very gravelly"|"165026767"|"48886305"
"Very gravelly"|"165026768"|"48886303"
"Very gravelly"|"165026769"|"48886302"
"Very gravelly"|"165026770"|"48886301"
"Gravelly"|"165026804"|"48886568"
"Very gravelly"|"165026805"|"48886569"
"Gravelly"|"165026822"|"48886600"
"Gravelly"|"165026825"|"48886601"
"Gravelly"|"165026832"|"48887138"
"Gravelly"|"165026833"|"48887139"
"Gravelly"|"165026840"|"48887136"
"Very gravelly"|"165026841"|"48887137"
"Gravelly"|"165026844"|"48886153"
"Very gravelly"|"165026845"|"48886154"
"Gravelly"|"165026847"|"48886152"
"Very gravelly"|"165026851"|"48886990"
"Extremely gravelly"|"165026852"|"48886991"
"Very gravelly"|"165026853"|"48886988"
"Extremely gravelly"|"165026854"|"48886989"
"Gravelly"|"165026864"|"48886602"
"Gravelly"|"165026867"|"48886603"
"Very gravelly"|"165026880"|"48886487"
"Very gravelly"|"165026884"|"48886488"
"Gravelly"|"165026887"|"48886331"
"Extremely gravelly"|"165026888"|"48886332"
"Gravelly"|"165026904"|"48886570"
"Very gravelly"|"165026905"|"48886571"
"Gravelly"|"165026913"|"48887142"
"Gravelly"|"165026914"|"48887143"
"Gravelly"|"165026922"|"48887146"
"Very gravelly"|"165026923"|"48887147"
"Very gravelly"|"165026934"|"48887144"
"Very gravelly"|"165026939"|"48887145"
"Gravelly"|"165026966"|"48887140"
"Extremely gravelly"|"165026967"|"48887141"
"Gravelly"|"165026971"|"48887150"
"Gravelly"|"165026973"|"48887151"
"Gravelly"|"165026982"|"48887148"
"Extremely gravelly"|"165026983"|"48887149"
"Very gravelly"|"165026995"|"48887152"
"Very gravelly"|"165026999"|"48887153"
"Very gravelly"|"165027014"|"48887155"
"Gravelly"|"165027015"|"48887154"
"Gravelly"|"165027030"|"48886604"
"Gravelly"|"165027033"|"48886605"
"Gravelly"|"165027035"|"48886572"
"Very gravelly"|"165027036"|"48886573"
"Very gravelly"|"165027078"|"48886380"
"Extremely gravelly"|"165027079"|"48886381"
"Gravelly"|"165027080"|"48886378"
"Very gravelly"|"165027081"|"48886379"
"Very gravelly"|"165027083"|"48886377"
"Gravelly"|"165027084"|"48886375"
"Very gravelly"|"165027085"|"48886376"
"Gravelly"|"165027086"|"48886374"
"Extremely gravelly"|"165027098"|"48886385"
"Gravelly"|"165027099"|"48886386"
"Very gravelly"|"165027100"|"48886387"
"Extremely gravelly"|"165027101"|"48886382"
"Very gravelly"|"165027102"|"48886383"
"Gravelly"|"165027103"|"48886384"
"Extremely gravelly"|"165027104"|"48886388"
"Gravelly"|"165027105"|"48886389"
"Extremely gravelly"|"165027106"|"48886390"
"Gravelly"|"165027109"|"48887069"
"Gravelly"|"165027110"|"48887072"
"Gravelly"|"165027111"|"48887071"
