"CH"|Yes|"79950854"|"147932409"
"CH"|Yes|"79950855"|"147932410"
"CL"|Yes|"79950857"|"147932412"
"CL"|Yes|"79950856"|"147932411"
"CL"|Yes|"79950852"|"147932407"
"CL"|Yes|"79950853"|"147932408"
"CL-ML"|Yes|"79950860"|"147932422"
"SC-SM"|Yes|"79950860"|"147932424"
"CL"|Yes|"79950860"|"147932421"
"SC"|Yes|"79950860"|"147932423"
"CL-ML"|Yes|"79950859"|"147932418"
"SC-SM"|Yes|"79950859"|"147932420"
"CL"|Yes|"79950859"|"147932417"
"SC"|Yes|"79950859"|"147932419"
"CL"|Yes|"79950863"|"147932427"
"CL"|Yes|"79950864"|"147932428"
"CL"|Yes|"79950862"|"147932426"
"CL-ML"|Yes|"79950865"|"147932430"
"SC-SM"|Yes|"79950865"|"147932432"
"CL"|Yes|"79950865"|"147932429"
"SC"|Yes|"79950865"|"147932431"
"CL"|Yes|"79950866"|"147932433"
"CL-ML"|Yes|"79950858"|"147932414"
"SC-SM"|Yes|"79950858"|"147932416"
"CL"|Yes|"79950858"|"147932413"
"SC"|Yes|"79950858"|"147932415"
"CL"|Yes|"79950861"|"147932425"
"CH"|Yes|"79950869"|"147932436"
"CH"|Yes|"79950867"|"147932434"
"CH"|Yes|"79950868"|"147932435"
"CH"|Yes|"79950870"|"147932437"
"CH"|Yes|"79950871"|"147932438"
"CH"|Yes|"79950872"|"147932439"
"CH"|Yes|"79950873"|"147932440"
"CH"|Yes|"79950876"|"147932443"
"CH"|Yes|"79950877"|"147932444"
"CH"|Yes|"79950878"|"147932445"
"CH"|Yes|"79950875"|"147932442"
"CL"|Yes|"79950874"|"147932441"
"CH"|Yes|"79950886"|"147932454"
"CH"|Yes|"79950887"|"147932455"
"CH"|Yes|"79950885"|"147932453"
"CH"|Yes|"79950884"|"147932452"
"CH"|Yes|"79950880"|"147932447"
"CH"|Yes|"79950881"|"147932448"
"CH"|Yes|"79950849"|"147932403"
"CL"|Yes|"79950849"|"147932402"
"CH"|Yes|"79950851"|"147932406"
"CH"|Yes|"79950848"|"147932401"
"CH"|Yes|"79950847"|"147932400"
"CH"|Yes|"79950850"|"147932404"
"CL"|Yes|"79950850"|"147932405"
"CL"|Yes|"79950845"|"147932398"
"CL"|Yes|"79950844"|"147932397"
"CL"|Yes|"79950846"|"147932399"
"CH"|Yes|"79950839"|"147932392"
"CH"|Yes|"79950838"|"147932391"
"CH"|Yes|"79950842"|"147932395"
"CH"|Yes|"79950837"|"147932390"
"CH"|Yes|"79950836"|"147932389"
"CH"|Yes|"79950843"|"147932396"
"CH"|Yes|"79950841"|"147932394"
"CH"|Yes|"79950840"|"147932393"
"CH"|Yes|"79950835"|"147932388"
"CL"|Yes|"79950829"|"147932379"
"CL"|Yes|"79950834"|"147932387"
"CL-ML"|No |"79950833"|"147932384"
"SC-SM"|No |"79950833"|"147932386"
"CL"|Yes|"79950833"|"147932383"
"SC"|No |"79950833"|"147932385"
"CL-ML"|No |"79950826"|"147932368"
"SC-SM"|No |"79950826"|"147932370"
"CL"|Yes|"79950826"|"147932367"
"SC"|No |"79950826"|"147932369"
"CL"|Yes|"79950830"|"147932380"
"CL"|Yes|"79950832"|"147932382"
"CL"|Yes|"79950831"|"147932381"
"CL-ML"|No |"79950827"|"147932372"
"SC-SM"|No |"79950827"|"147932374"
"CL"|Yes|"79950827"|"147932371"
"SC"|No |"79950827"|"147932373"
"CL-ML"|No |"79950828"|"147932376"
"SC-SM"|No |"79950828"|"147932378"
"CL"|Yes|"79950828"|"147932375"
"SC"|No |"79950828"|"147932377"
"CL"|Yes|"79950821"|"147932362"
"CL"|Yes|"79950820"|"147932361"
"CL"|Yes|"79950824"|"147932365"
"CL"|Yes|"79950825"|"147932366"
"CH"|Yes|"79950823"|"147932364"
"CH"|Yes|"79950822"|"147932363"
"CL"|Yes|"79950815"|"147932344"
"CL-ML"|No |"79950817"|"147932350"
"SC-SM"|No |"79950817"|"147932352"
"CL"|Yes|"79950817"|"147932349"
"SC"|No |"79950817"|"147932351"
"CL-ML"|No |"79950816"|"147932346"
"SC-SM"|No |"79950816"|"147932348"
"CL"|Yes|"79950816"|"147932345"
"SC"|No |"79950816"|"147932347"
"CL"|Yes|"79950811"|"147932340"
"CL"|Yes|"79950812"|"147932341"
"CL"|Yes|"79950814"|"147932343"
"CL"|Yes|"79950813"|"147932342"
"CL-ML"|No |"79950818"|"147932354"
"SC-SM"|No |"79950818"|"147932356"
"CL"|Yes|"79950818"|"147932353"
"SC"|No |"79950818"|"147932355"
"CL-ML"|No |"79950819"|"147932358"
