datetime,site_uid,temp_water,nitrate_con,diss_oxy_con,ph,spec_cond,discharge,stage
2010-07-30 05:00:00+00:00,USGS-05451210,22.5,8.25,7.6,8.0,604.0,602.0,5.22
2010-07-30 05:15:00+00:00,USGS-05451210,22.5,8.26,7.6,8.0,604.0,596.0,5.2
2010-07-30 05:30:00+00:00,USGS-05451210,22.4,8.24,7.6,8.0,604.0,599.0,5.21
2010-07-30 05:45:00+00:00,USGS-05451210,22.4,8.25,7.6,8.0,604.0,599.0,5.21
2010-07-30 06:00:00+00:00,USGS-05451210,22.3,8.24,7.6,8.0,604.0,596.0,5.2
2010-07-30 06:15:00+00:00,USGS-05451210,22.3,8.26,7.6,8.0,604.0,596.0,5.2
2010-07-30 06:30:00+00:00,USGS-05451210,22.2,8.25,7.6,8.0,604.0,589.0,5.18
2010-07-30 06:45:00+00:00,USGS-05451210,22.2,8.24,7.6,8.0,604.0,596.0,5.2
2010-07-30 07:00:00+00:00,USGS-05451210,22.2,8.22,7.6,8.0,605.0,586.0,5.17
2010-07-30 07:15:00+00:00,USGS-05451210,22.1,8.23,7.6,8.0,604.0,586.0,5.17
2010-07-30 07:30:00+00:00,USGS-05451210,22.1,8.22,7.6,8.0,605.0,586.0,5.17
2010-07-30 07:45:00+00:00,USGS-05451210,22.0,8.23,7.6,8.0,605.0,582.0,5.16
2010-07-30 08:00:00+00:00,USGS-05451210,22.0,8.23,7.6,8.0,605.0,586.0,5.17
2010-07-30 08:15:00+00:00,USGS-05451210,22.0,8.23,7.6,8.0,605.0,582.0,5.16
2010-07-30 08:30:00+00:00,USGS-05451210,21.9,8.22,7.6,8.0,605.0,582.0,5.16
2010-07-30 08:45:00+00:00,USGS-05451210,21.9,8.25,7.6,8.0,605.0,579.0,5.15
2010-07-30 09:00:00+00:00,USGS-05451210,21.8,8.23,7.6,8.0,605.0,576.0,5.14
2010-07-30 09:15:00+00:00,USGS-05451210,21.8,8.23,7.7,8.0,606.0,579.0,5.15
2010-07-30 09:30:00+00:00,USGS-05451210,21.7,8.23,7.7,8.0,603.0,572.0,5.13
2010-07-30 09:45:00+00:00,USGS-05451210,21.7,8.26,7.7,8.0,606.0,576.0,5.14
2010-07-30 10:00:00+00:00,USGS-05451210,21.6,8.24,7.7,8.0,606.0,576.0,5.14
2010-07-30 10:15:00+00:00,USGS-05451210,21.6,8.24,7.7,8.0,606.0,569.0,5.12
2010-07-30 10:30:00+00:00,USGS-05451210,21.5,8.23,7.7,8.0,606.0,566.0,5.11
2010-07-30 10:45:00+00:00,USGS-05451210,21.5,8.24,7.7,8.0,606.0,569.0,5.12
2010-07-30 11:00:00+00:00,USGS-05451210,21.4,8.23,7.7,8.0,606.0,569.0,5.12
2010-07-30 11:15:00+00:00,USGS-05451210,21.4,8.26,7.7,8.0,607.0,566.0,5.11
2010-07-30 11:30:00+00:00,USGS-05451210,21.4,8.23,7.7,8.0,607.0,562.0,5.1
2010-07-30 11:45:00+00:00,USGS-05451210,21.3,8.23,7.7,8.0,607.0,566.0,5.11
2010-07-30 12:00:00+00:00,USGS-05451210,21.3,8.21,7.7,8.0,607.0,566.0,5.11
2010-07-30 12:15:00+00:00,USGS-05451210,21.2,8.22,7.7,8.0,607.0,562.0,5.1
2010-07-30 12:30:00+00:00,USGS-05451210,21.2,8.22,7.8,8.0,607.0,562.0,5.1
2010-07-30 12:45:00+00:00,USGS-05451210,21.1,8.23,7.8,8.0,606.0,562.0,5.1
2010-07-30 13:00:00+00:00,USGS-05451210,21.1,8.17,7.8,8.0,603.0,569.0,5.12
2010-07-30 13:15:00+00:00,USGS-05451210,21.0,8.17,7.8,8.0,602.0,566.0,5.11
2010-07-30 13:30:00+00:00,USGS-05451210,21.0,8.13,7.8,8.0,600.0,569.0,5.12
2010-07-30 13:45:00+00:00,USGS-05451210,20.9,8.09,7.8,8.0,597.0,579.0,5.15
2010-07-30 14:00:00+00:00,USGS-05451210,20.8,7.95,7.8,8.0,591.0,589.0,5.18
2010-07-30 14:15:00+00:00,USGS-05451210,20.8,7.91,7.9,8.0,589.0,602.0,5.22
2010-07-30 14:30:00+00:00,USGS-05451210,20.7,7.91,7.9,8.0,589.0,599.0,5.21
2010-07-30 14:45:00+00:00,USGS-05451210,20.7,7.92,7.8,8.0,589.0,620.0,5.27
2010-07-30 15:00:00+00:00,USGS-05451210,20.6,7.85,7.8,8.0,587.0,633.0,5.31
2010-07-30 15:15:00+00:00,USGS-05451210,20.6,7.83,7.8,8.0,584.0,640.0,5.33
2010-07-30 15:30:00+00:00,USGS-05451210,20.6,7.71,7.8,8.0,581.0,651.0,5.36
2010-07-30 15:45:00+00:00,USGS-05451210,20.5,7.7,7.8,8.0,579.0,672.0,5.42
2010-07-30 16:00:00+00:00,USGS-05451210,20.5,7.62,7.8,8.0,577.0,694.0,5.48
2010-07-30 16:15:00+00:00,USGS-05451210,20.5,7.59,7.8,8.0,575.0,705.0,5.51
2010-07-30 16:30:00+00:00,USGS-05451210,20.5,7.52,7.8,8.0,574.0,739.0,5.6
2010-07-30 16:45:00+00:00,USGS-05451210,20.6,7.48,7.8,8.0,571.0,750.0,5.63
2010-07-30 17:00:00+00:00,USGS-05451210,20.6,7.38,7.8,8.0,569.0,774.0,5.69
2010-07-30 17:15:00+00:00,USGS-05451210,20.6,7.39,7.8,8.0,566.0,777.0,5.7
2010-07-30 17:30:00+00:00,USGS-05451210,20.7,7.27,7.8,7.9,561.0,793.0,5.74
2010-07-30 17:45:00+00:00,USGS-05451210,20.7,7.2,7.8,7.9,555.0,789.0,5.73
2010-07-30 18:00:00+00:00,USGS-05451210,20.9,7.03,7.7,7.9,550.0,789.0,5.73
