datetime,site_uid,temp_water,nitrate_con,discharge
2012-05-16 05:00:00+00:00,USGS-05418110,17.7,8.5,65.9
2012-05-16 05:15:00+00:00,USGS-05418110,17.6,8.5,64.6
2012-05-16 05:30:00+00:00,USGS-05418110,17.4,8.5,65.9
2012-05-16 05:45:00+00:00,USGS-05418110,17.3,8.51,65.9
2012-05-16 06:00:00+00:00,USGS-05418110,17.1,8.51,65.9
2012-05-16 06:15:00+00:00,USGS-05418110,17.0,8.51,64.6
2012-05-16 06:30:00+00:00,USGS-05418110,16.9,8.51,65.9
2012-05-16 06:45:00+00:00,USGS-05418110,16.7,8.51,65.9
2012-05-16 07:00:00+00:00,USGS-05418110,16.6,8.51,64.6
2012-05-16 07:15:00+00:00,USGS-05418110,16.5,8.51,65.9
2012-05-16 07:30:00+00:00,USGS-05418110,16.4,8.51,64.6
2012-05-16 07:45:00+00:00,USGS-05418110,16.3,8.51,65.9
2012-05-16 08:00:00+00:00,USGS-05418110,16.2,8.52,65.9
2012-05-16 08:15:00+00:00,USGS-05418110,16.1,8.52,65.9
2012-05-16 08:30:00+00:00,USGS-05418110,16.0,8.53,65.9
2012-05-16 08:45:00+00:00,USGS-05418110,15.9,8.54,64.6
2012-05-16 09:00:00+00:00,USGS-05418110,15.8,8.54,65.9
2012-05-16 09:15:00+00:00,USGS-05418110,15.7,8.54,65.9
2012-05-16 09:30:00+00:00,USGS-05418110,15.6,8.54,64.6
2012-05-16 09:45:00+00:00,USGS-05418110,15.5,8.55,64.6
2012-05-16 10:00:00+00:00,USGS-05418110,15.4,8.52,65.9
2012-05-16 10:15:00+00:00,USGS-05418110,15.3,8.52,64.6
2012-05-16 10:30:00+00:00,USGS-05418110,15.2,8.53,64.6
2012-05-16 10:45:00+00:00,USGS-05418110,15.1,8.53,64.6
2012-05-16 11:00:00+00:00,USGS-05418110,15.0,8.54,65.9
2012-05-16 11:15:00+00:00,USGS-05418110,14.9,8.55,64.6
2012-05-16 11:30:00+00:00,USGS-05418110,14.8,8.55,64.6
2012-05-16 11:45:00+00:00,USGS-05418110,14.8,8.54,64.6
2012-05-16 12:00:00+00:00,USGS-05418110,14.7,8.54,64.6
2012-05-16 12:15:00+00:00,USGS-05418110,14.6,8.55,64.6
2012-05-16 12:30:00+00:00,USGS-05418110,14.6,8.55,65.9
2012-05-16 12:45:00+00:00,USGS-05418110,14.6,8.55,64.6
2012-05-16 13:00:00+00:00,USGS-05418110,14.5,8.56,64.6
2012-05-16 13:15:00+00:00,USGS-05418110,14.5,8.56,65.9
2012-05-16 13:30:00+00:00,USGS-05418110,14.5,8.56,64.6
2012-05-16 13:45:00+00:00,USGS-05418110,14.5,8.56,64.6
2012-05-16 14:00:00+00:00,USGS-05418110,14.5,8.55,65.9
2012-05-16 14:15:00+00:00,USGS-05418110,14.6,8.54,64.6
2012-05-16 14:30:00+00:00,USGS-05418110,14.7,8.54,64.6
2012-05-16 14:45:00+00:00,USGS-05418110,14.8,8.54,64.6
2012-05-16 15:00:00+00:00,USGS-05418110,14.9,8.54,64.6
2012-05-16 15:15:00+00:00,USGS-05418110,15.1,8.52,65.9
2012-05-16 15:30:00+00:00,USGS-05418110,15.3,8.52,65.9
2012-05-16 15:45:00+00:00,USGS-05418110,15.5,8.52,64.6
2012-05-16 16:00:00+00:00,USGS-05418110,15.8,8.51,65.9
2012-05-16 16:15:00+00:00,USGS-05418110,16.0,8.52,65.9
2012-05-16 16:30:00+00:00,USGS-05418110,16.3,8.49,65.9
2012-05-16 16:45:00+00:00,USGS-05418110,16.6,8.49,64.6
2012-05-16 17:00:00+00:00,USGS-05418110,16.9,8.48,64.6
2012-05-16 17:15:00+00:00,USGS-05418110,17.2,8.48,64.6
2012-05-16 17:30:00+00:00,USGS-05418110,17.5,8.5,64.6
2012-05-16 17:45:00+00:00,USGS-05418110,17.8,8.5,64.6
2012-05-16 18:00:00+00:00,USGS-05418110,18.0,8.51,65.9
2012-05-16 18:15:00+00:00,USGS-05418110,18.3,8.49,64.6
2012-05-16 18:30:00+00:00,USGS-05418110,18.6,8.5,64.6
2012-05-16 18:45:00+00:00,USGS-05418110,18.8,8.5,65.9
2012-05-16 19:00:00+00:00,USGS-05418110,19.1,8.5,65.9
2012-05-16 19:15:00+00:00,USGS-05418110,19.4,8.49,64.6
2012-05-16 19:30:00+00:00,USGS-05418110,19.6,8.48,64.6
2012-05-16 19:45:00+00:00,USGS-05418110,19.8,8.48,65.9
2012-05-16 20:00:00+00:00,USGS-05418110,20.0,8.48,64.6
2012-05-16 20:15:00+00:00,USGS-05418110,20.2,8.48,64.6
2012-05-16 20:30:00+00:00,USGS-05418110,20.3,8.48,65.9
2012-05-16 20:45:00+00:00,USGS-05418110,20.4,8.48,65.9
2012-05-16 21:00:00+00:00,USGS-05418110,20.5,8.48,64.6
2012-05-16 21:15:00+00:00,USGS-05418110,20.6,8.47,64.6
2012-05-16 21:30:00+00:00,USGS-05418110,20.7,8.47,65.9
2012-05-16 21:45:00+00:00,USGS-05418110,20.8,8.47,64.6
2012-05-16 22:00:00+00:00,USGS-05418110,20.8,8.47,64.6
2012-05-16 22:15:00+00:00,USGS-05418110,20.8,8.47,65.9
