FIPS,CENSUS_2020_POP,Economic_typology_2015,Rural_Urban_Continuum_Code_2013,Urban_Influence_Code_2013,Rural_Urban_Continuum_Code_2023,Urban_Influence_Code_2024,POVALL_2023,PCTPOVALL_2023,MEDHHINC_2023,Metro_2023,Unemployment_rate_2023,Civilian_labor_force_2023,Employed_2023,Unemployed_2023
00000,331449281.0,,,,,,40763043.0,12.5,77719.0,,3.6,166689556.0,160623678.0,6065878.0
01000,5024279.0,,,,,,780043.0,15.700000000000001,62248.0,,2.5,2308131.0,2250472.0,57659.0
01001,58805.0,0.0,2.0,2.0,2.0,4.0,7004.0,11.700000000000001,68857.0,1.0,2.2,27000.0,26409.0,591.0
01003,231767.0,5.0,3.0,2.0,3.0,4.0,24942.0,10.0,74248.0,1.0,2.3000000000000003,104409.0,102029.0,2380.0
01005,25223.0,3.0,6.0,6.0,6.0,5.0,5585.0,25.5,45298.0,0.0,4.4,7944.0,7592.0,352.0
01007,22293.0,0.0,1.0,1.0,1.0,1.0,3870.0,19.400000000000002,56025.0,1.0,2.5,8772.0,8556.0,216.0
01009,59134.0,0.0,1.0,1.0,1.0,1.0,7590.0,12.8,64962.0,1.0,2.1,25836.0,25282.0,554.0
01011,10357.0,3.0,6.0,6.0,8.0,6.0,2779.0,33.6,36204.0,0.0,2.4000000000000004,4500.0,4393.0,107.0
01013,19051.0,0.0,6.0,6.0,6.0,6.0,4263.0,23.6,44729.0,0.0,2.9000000000000004,9009.0,8746.0,263.0
01015,116441.0,4.0,3.0,2.0,3.0,4.0,22174.0,20.1,51841.0,1.0,2.8000000000000003,45540.0,44256.0,1284.0
01017,34772.0,0.0,6.0,5.0,6.0,5.0,5661.0,17.1,50390.0,0.0,2.4000000000000004,16272.0,15884.0,388.0
01019,24971.0,0.0,6.0,6.0,8.0,6.0,3949.0,15.600000000000001,56400.0,0.0,2.4000000000000004,11854.0,11570.0,284.0
01021,45014.0,0.0,1.0,1.0,1.0,1.0,7026.0,15.3,59165.0,1.0,2.2,20293.0,19848.0,445.0
01023,12665.0,3.0,9.0,10.0,9.0,9.0,3017.0,24.8,47432.0,0.0,4.0,4221.0,4052.0,169.0
01025,23087.0,3.0,7.0,11.0,9.0,9.0,4174.0,19.0,50868.0,0.0,5.0,7591.0,7212.0,379.0
01027,14236.0,3.0,9.0,10.0,9.0,9.0,2337.0,16.900000000000002,52077.0,0.0,2.4000000000000004,5945.0,5805.0,140.0
01029,15056.0,0.0,8.0,4.0,8.0,3.0,2432.0,15.8,59526.0,0.0,2.3000000000000003,6205.0,6064.0,141.0
01031,53465.0,0.0,4.0,5.0,4.0,5.0,9055.0,16.5,64737.0,0.0,2.5,21781.0,21235.0,546.0
01033,57227.0,0.0,3.0,2.0,3.0,4.0,8912.0,15.4,57770.0,1.0,2.9000000000000004,24063.0,23355.0,708.0
01035,11597.0,0.0,7.0,11.0,9.0,9.0,2920.0,26.5,46702.0,0.0,3.5,4259.0,4108.0,151.0
01037,10387.0,3.0,8.0,3.0,8.0,2.0,1809.0,18.2,59736.0,0.0,2.6,4549.0,4433.0,116.0
01039,37570.0,0.0,6.0,6.0,6.0,6.0,6204.0,16.7,50119.0,0.0,2.7,14872.0,14464.0,408.0
01041,13194.0,3.0,8.0,6.0,8.0,6.0,2520.0,19.5,49128.0,0.0,2.7,6160.0,5996.0,164.0
01043,87866.0,0.0,4.0,3.0,4.0,2.0,14081.0,15.5,61231.0,0.0,2.0,39773.0,38961.0,812.0
01045,49326.0,3.0,4.0,5.0,4.0,5.0,8124.0,16.6,54697.0,0.0,2.5,21198.0,20661.0,537.0
01047,38462.0,3.0,4.0,5.0,4.0,5.0,11197.0,31.400000000000002,39013.0,0.0,5.4,13537.0,12803.0,734.0
01049,71608.0,3.0,6.0,6.0,6.0,5.0,15494.0,21.6,50614.0,0.0,2.3000000000000003,31004.0,30300.0,704.0
01051,87977.0,0.0,2.0,2.0,2.0,4.0,10562.0,12.5,73125.0,1.0,2.1,38594.0,37772.0,822.0
01053,36757.0,0.0,6.0,6.0,6.0,6.0,7331.0,21.3,50333.0,0.0,3.1,14440.0,13990.0,450.0
01055,103436.0,0.0,3.0,2.0,3.0,4.0,19921.0,19.6,52504.0,1.0,2.8000000000000003,39430.0,38328.0,1102.0
01057,16321.0,0.0,6.0,6.0,8.0,6.0,2542.0,16.2,49235.0,0.0,2.9000000000000004,6582.0,6392.0,190.0
01059,32113.0,3.0,6.0,6.0,6.0,5.0,7035.0,22.5,49682.0,0.0,2.6,14247.0,13881.0,366.0
01061,26659.0,0.0,3.0,2.0,3.0,4.0,5109.0,19.200000000000003,50006.0,1.0,2.4000000000000004,11216.0,10942.0,274.0
01063,7730.0,0.0,8.0,6.0,2.0,4.0,2255.0,31.0,34619.0,1.0,4.800000000000001,2851.0,2715.0,136.0
01065,14785.0,0.0,3.0,2.0,2.0,4.0,3383.0,23.0,42380.0,1.0,3.3000000000000003,5978.0,5779.0,199.0
01067,17146.0,0.0,3.0,2.0,3.0,4.0,2904.0,16.400000000000002,55598.0,1.0,2.6,7059.0,6873.0,186.0
01069,107202.0,0.0,3.0,2.0,3.0,4.0,17707.0,16.5,59412.0,1.0,2.6,48357.0,47108.0,1249.0
01071,52579.0,3.0,6.0,5.0,6.0,5.0,8437.0,16.0,51479.0,0.0,2.5,23482.0,22899.0,583.0
01073,674721.0,0.0,1.0,1.0,1.0,1.0,103120.0,16.0,64726.0,1.0,2.5,325388.0,317407.0,7981.0
01075,13972.0,3.0,8.0,7.0,8.0,6.0,2217.0,16.400000000000002,50929.0,0.0,2.8000000000000003,5759.0,5598.0,161.0
01077,93564.0,0.0,3.0,2.0,3.0,4.0,12563.0,13.600000000000001,63895.0,1.0,2.5,43281.0,42182.0,1099.0
01079,33073.0,3.0,3.0,2.0,3.0,4.0,4710.0,14.200000000000001,61064.0,1.0,2.3000000000000003,14920.0,14583.0,337.0
