|||"Dip"|"42379632"|"16751155"
|||"Dip"|"42379642"|"16751164"
|||"Dip"|"42379644"|"16751165"
|||"Dip"|"42379645"|"16751166"
|||"Dip"|"42379646"|"16751167"
|||"Dip"|"42379647"|"16751168"
|||"Dip"|"42379648"|"16751169"
||"Tread"||"42379649"|"16751170"
|||"Dip"|"42379650"|"16751171"
||"Tread"||"42379651"|"16751172"
||"Tread"||"42379652"|"16751173"
|||"Dip"|"42379653"|"16751174"
|||"Dip"|"42379654"|"16751175"
|||"Dip"|"42379656"|"16751176"
|||"Dip"|"42379657"|"16751177"
|||"Dip"|"42379658"|"16751178"
|||"Dip"|"42379659"|"16751179"
"Mountainflank"||||"42379660"|"16751180"
|||"Dip"|"42379662"|"16751181"
|||"Dip"|"42379663"|"16751182"
|||"Dip"|"42379664"|"16751183"
|||"Dip"|"42379665"|"16751184"
||"Tread"||"42379675"|"16751193"
||"Tread"||"42379676"|"16751194"
||"Tread"||"42379677"|"16751195"
|||"Dip"|"42379678"|"16751196"
|||"Dip"|"42379679"|"16751197"
|||"Dip"|"42379680"|"16751198"
|"Side Slope"|||"42379633"|"16751156"
|"Side Slope"|||"42379634"|"16751157"
|||"Dip"|"42379635"|"16751158"
|"Side Slope"|||"42379636"|"16751159"
||"Tread"||"42379637"|"16751160"
||"Tread"||"42379638"|"16751161"
|||"Dip"|"42379639"|"16751162"
|||"Dip"|"42379640"|"16751163"
|||"Dip"|"42379681"|"16751199"
|||"Dip"|"42379682"|"16751200"
|||"Dip"|"42379683"|"16751201"
|||"Dip"|"42379684"|"16751202"
|||"Dip"|"42379685"|"16751203"
|||"Dip"|"42379686"|"16751204"
|||"Dip"|"42379688"|"16751205"
|||"Dip"|"42379689"|"16751206"
|||"Dip"|"42379690"|"16751207"
|||"Dip"|"42379691"|"16751208"
|||"Dip"|"42379692"|"16751209"
|||"Dip"|"42379693"|"16751210"
|||"Dip"|"42379694"|"16751211"
|||"Dip"|"42379696"|"16751212"
|||"Dip"|"42379698"|"16751213"
|||"Dip"|"42379699"|"16751214"
|||"Dip"|"42379700"|"16751215"
|||"Dip"|"42379701"|"16751216"
|||"Dip"|"42379702"|"16751217"
|||"Dip"|"42379666"|"16751185"
|||"Dip"|"42379667"|"16751186"
|||"Dip"|"42379668"|"16751187"
|||"Dip"|"42379670"|"16751188"
|||"Dip"|"42379671"|"16751189"
|||"Dip"|"42379672"|"16751190"
|||"Dip"|"42379673"|"16751191"
|||"Dip"|"42379674"|"16751192"
