site_uid,basin_name
WQS0003,WQS0003_basin1.parquet
WQS0054,WQS0054_basin1.parquet
WQS0115,WQS0115_basin2.parquet
USGS-06808500,USGS-06808500_basin2.parquet
WQS0035,WQS0035_basin1.parquet
USGS-05464475,USGS-05464475_basin2.parquet
WQS0010,WQS0010_basin2.parquet
WQS0081,WQS0081_basin2.parquet
WQS0083,WQS0083_basin2.parquet
WQS0050,WQS0050_basin1.parquet
WQS0005,WQS0005_basin1.parquet
WQS0061,WQS0061_basin1.parquet
USGS-05418110,USGS-05418110_basin2.parquet
WQS0001,WQS0001_basin1.parquet
WQS0038,WQS0038_basin1.parquet
WQS0013,WQS0013_basin2.parquet
WQS0014,WQS0014_basin2.parquet
WQS0021,WQS0021_basin1.parquet
WQS0114,WQS0114_basin1.parquet
WQS0076,WQS0076_basin2.parquet
WQS0043,WQS0043_basin1.parquet
WQS0024,WQS0024_basin2.parquet
WQS0040,WQS0040_basin2.parquet
WQS0044,WQS0044_basin2.parquet
WQS0048,WQS0048_basin2.parquet
USGS-05464420,USGS-05464420_basin2.parquet
WQS0051,WQS0051_basin1.parquet
USGS-05465500,USGS-05465500_basin2.parquet
WQS0058,WQS0058_basin1.parquet
WQS0104,WQS0104_basin1.parquet
USGS-05412500,USGS-05412500_basin2.parquet
WQS0066,WQS0066_basin4.parquet
WQS0009,WQS0009_basin1.parquet
WQS0011,WQS0011_basin1.parquet
WQS0032,WQS0032_basin1.parquet
WQS0053,WQS0053_basin1.parquet
WQS0065,WQS0065_basin4.parquet
WQS0067,WQS0067_basin1.parquet
WQS0064,WQS0064_basin1.parquet
WQS0063,WQS0063_basin1.parquet
WQS0055,WQS0055_basin1.parquet
WQS0006,WQS0006_basin1.parquet
WQS0111,WQS0111_basin1.parquet
WQS0072,WQS0072_basin1.parquet
WQS0033,WQS0033_basin1.parquet
USGS-05418720,USGS-05418720_basin2.parquet
WQS0080,WQS0080_basin1.parquet
WQS0084,WQS0084_basin1.parquet
USGS-05482500,USGS-05482500_basin2.parquet
USGS-05455100,USGS-05455100_basin2.parquet
USGS-05484500,USGS-05484500_basin2.parquet
WQS0007,WQS0007_basin2.parquet
WQS0025,WQS0025_basin1.parquet
USGS-06603750,USGS-06603750_basin2.parquet
WQS0027,WQS0027_basin2.parquet
WQS0102,WQS0102_basin2.parquet
WQS0031,WQS0031_basin3.parquet
WQS0023,WQS0023_basin2.parquet
WQS0022,WQS0022_basin1.parquet
WQS0012,WQS0012_basin1.parquet
WQS0037,WQS0037_basin1.parquet
WQS0002,WQS0002_basin1.parquet
WQS0008,WQS0008_basin1.parquet
USGS-05481000,USGS-05481000_basin2.parquet
USGS-05482000,USGS-05482000_basin2.parquet
USGS-05482300,USGS-05482300_basin2.parquet
USGS-05484000,USGS-05484000_basin2.parquet
WQS0069,WQS0069_basin1.parquet
USGS-05418400,USGS-05418400_basin2.parquet
USGS-05483600,USGS-05483600_basin2.parquet
USGS-06604440,USGS-06604440_basin2.parquet
USGS-06817000,USGS-06817000_basin2.parquet
WQS0039,WQS0039_basin1.parquet
WQS0046,WQS0046_basin1.parquet
WQS0047,WQS0047_basin2.parquet
WQS0056,WQS0056_basin1.parquet
WQS0070,WQS0070_basin1.parquet
WQS0071,WQS0071_basin1.parquet
WQS0073,WQS0073_basin1.parquet
WQS0074,WQS0074_basin1.parquet
USGS-05480603,USGS-05480603_basin2.parquet
USGS-05451210,USGS-05451210_basin2.parquet
USGS-05464500,USGS-05464500_basin2.parquet
USGS-415959091441301,USGS-415959091441301_basin2.parquet
USGS-05480986,USGS-05480986_basin2.parquet
